sdss_name,sdss_ra,sdss_dec,sdss_z,sdss_source_z,sdss_zwarning,z_reliable_flag,FIRST,source_tier_first,Fpeak_first,Fint_first,Rms_first,NVSS,source_tier_nvss,S1.4_nvss,e_S1.4_nvss,GLEAM,source_tier_gleam,Fpwide_gleam,e_Fpwide_gleam,Fintwide_gleam,e_Fintwide_gleam,RACS-DR1,source_tier_racs,Fpk_racs,e_Fpk_racs,Ftot_racs,e_Ftot_racs,source_tier_flag
221657.77+012417.5,334.2407294834783,1.404886419911047,3.746,PIPE,4,3,J221657.7+012418,1,2.41,1.99,0.147,,NA,,,,NA,,,,,,NA,,,,,1.0
092004.52+012115.3,140.01886912221934,1.3542692139598371,3.902,VI,0,1,J092004.5+012115,1,3.07,2.81,0.154,092004+012118,1,3.9,0.4,,NA,,,,,J092004.4+012115,1,3.702,0.325,3.409,0.533,7.0
130002.16+011823.0,195.009017013208,1.306402723747209,4.612,VI,0,1,J130002.1+011823,1,2.74,2.52,0.137,130002+011826,1,2.4,0.4,,NA,,,,,J130002.3+011821,1,2.234,0.355,2.936,0.748,7.0
141737.10+011544.4,214.4045912329246,1.2623338154491595,3.401,VI,0,1,J141737.1+011544,1,2.9,2.7,0.138,,NA,,,,NA,,,,,J141737.0+011545,1,2.942,0.346,3.352,0.655,3.0
113957.54+011458.5,174.98977088339626,1.249587237544925,3.394,VI,0,1,J113957.5+011458,1,3.16,1.99,0.389,,NA,,,,NA,,,,,J113957.5+011457,1,7.079,1.32,7.514,2.386,3.0
230845.84+011201.3,347.19103592665374,1.2003675068084032,3.061,VI,0,1,J230845.8+011201,1,7.81,8.0,0.135,230846+011200,1,5.5,0.4,,NA,,,,,J230845.9+011201,1,10.994,0.622,15.256,1.351,7.0
144231.71+011055.3,220.63215470958596,1.18202964342654,4.49,VI,0,1,J144231.7+011054,1,1.07,1.87,0.15,,NA,,,,NA,,,,,,NA,,,,,1.0
213026.37+010930.7,322.60991441030507,1.1585446501407006,3.861,VI,0,1,J213026.3+010931,1,8.86,9.09,0.145,213026+010931,1,8.1,0.5,,NA,,,,,J213026.3+010930,1,9.219,0.37,9.176,0.639,7.0
093318.21+010827.2,143.32588275723177,1.140891658257428,3.007,VI,0,1,J093318.2+010827,1,12.33,12.57,0.151,093318+010825,1,10.8,0.5,,NA,,,,,J093318.1+010827,1,22.098,0.33,22.504,0.579,7.0
101934.79+010720.6,154.8949727012546,1.1224106012422428,3.994,VI,64,1,J101934.8+010720,1,4.66,4.99,0.137,101935+010720,1,4.3,0.4,,NA,,,,,J101934.7+010721,1,4.851,0.313,4.762,0.535,7.0
012255.42+010315.3,20.730929233206723,1.0542733325481017,3.501,VI,0,1,J012255.4+010316,1,2.23,2.4,0.14,,NA,,,,NA,,,,,,NA,,,,,1.0
143301.51+010132.9,218.25629343475546,1.0258324236077228,3.234,VI,0,1,J143301.5+010133,1,36.39,38.64,0.152,143301+010133,1,40.5,1.3,,NA,,,,,J143301.4+010133,1,43.797,0.352,45.889,0.63,7.0
014132.86+010041.4,25.386918347899552,1.011522023006856,3.011,VI,0,1,J014132.8+010041,1,3.15,3.49,0.149,014131+010052,3,8.6,1.1,,NA,,,,,,NA,,,,,1.0
