sdss_name,ra,dec,sdss_z,sdss_source_z,FIRST,source_tier_first,NVSS,source_tier_nvss,GLEAM,source_tier_gleam,RACS-DR1_1,source_tier_racs,recno,RACS-DR1_2,ID,Tile,SBID,MJD,Ng,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Ftot,e_Ftot,s_Ftot,Fpk,e_Fpk,amaj,e_amaj,bmin,e_bmin,PA,e_PA,amaj0,e_amaj0,bmin0,e_bmin0,PA0,e_PA0,Mult,Sep,Noise,GLON,GLAT,Flag
162324.71+154247.9,245.85297048566207,15.71332071470235,3.091,VI,J162324.7+154248,1,162324+154248,1,J162325+154227,1,J162324.6+154248,1,1478900,J162324.6+154248,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno= 1478900,RACS_1625+12A,8570,58597.71208,1,245.852895,15.713443,0.04,0.04,136.337,0.791,10.075,136.089,0.456,25.17,0.08,24.91,0.08,88.91,11.39,,0.08,,0.08,0.0,11.39,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,3.1643,0.456,31.205455,39.729407,-
145805.99+085530.1,224.5249627642492,8.925034100211851,3.09,VI,J145805.9+085529,1,145805+085529,1,J145806+085529,1,J145805.9+085529,1,1361297,J145805.9+085529,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno= 1361297,RACS_1506+06A,13594,58969.67047,1,224.524916,8.924992,0.02,0.02,318.108,0.821,22.782,312.179,0.468,25.34,0.04,25.18,0.04,57.28,11.71,3.89,0.04,2.94,0.04,57.28,11.71,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,3.3094,0.466,7.615173,54.99122,-
005036.81+062522.3,12.653378504844643,6.422863695477311,3.067,VI,J005036.8+062522,1,005036+062521,1,J005036+062528,1,J005036.7+062522,1,103554,J005036.7+062522,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  103554,RACS_0102+06A,8572,58598.18632,1,12.65316,6.423003,0.08,0.09,61.426,0.854,4.875,60.762,0.489,25.38,0.21,24.93,0.2,157.14,17.19,,0.21,,0.2,0.0,17.19,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,2.8493,0.488,122.560957,-56.448152,-
025355.98-011345.3,43.48326001877433,-1.229273359,3.066,VI,J025356.0-011345,1,025356-011348,1,J025356-011349,1,J025356.4-011348,1,295618,J025356.4-011348,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  295618,RACS_0306+00A,8582,58600.12774,2,43.48533,-1.230022,0.05,0.07,181.615,1.679,13.319,137.083,0.625,31.74,0.17,24.68,0.11,94.5,0.89,,0.17,,0.11,0.0,0.89,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,3.3037,0.625,176.700852,-50.846528,-
112851.69+232617.3,172.21539515817912,23.438144616142672,3.042,VI,J112851.6+232617,1,112851+232616,1,J112851+232615,1,J112851.6+232617,1,1002107,J112851.6+232617,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno= 1002107,RACS_1119+25A,8548,58595.54654,1,172.215307,23.4382,0.03,0.03,199.133,0.933,14.469,192.66,0.527,25.56,0.07,25.3,0.07,14.95,11.87,5.26,0.07,3.8,0.07,14.95,11.87,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,2.7653,0.523,219.543831,70.995707,-
004112.33+073650.9,10.301398621517876,7.614149959968928,3.024,VI,J004112.3+073650,1,004112+073650,1,J004112+073656,1,J004112.2+073651,1,70490,J004112.2+073651,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=   70490,RACS_0037+06A,8578,58599.12285,1,10.301219,7.614365,0.08,0.08,239.095,2.987,17.494,226.456,1.663,25.87,0.19,25.52,0.19,126.31,22.82,6.61,0.19,5.12,0.19,126.31,22.82,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,1.6456,1.642,118.489348,-55.16909,-
023518.98-090317.0,38.82910450214864,-9.054727451,3.022,VI,J023518.9-090317,1,023518-090318,1,J023520-090333,1,J023518.9-090316,1,261968,J023518.9-090316,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  261968,RACS_0241-06A,8587,58601.19852,1,38.829027,-9.054594,0.1,0.1,49.579,0.778,4.046,48.696,0.444,25.43,0.23,25.06,0.23,39.58,24.34,4.61,0.23,1.26,0.23,39.58,24.34,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,3.1378,0.442,181.453742,-59.532109,-
000420.93-094615.7,1.0872427960890008,-9.771050382,3.019,VI,J000420.9-094615,1,000420-094617,1,J000420-094609,1,J000420.9-094615,1,3912,J000420.9-094615,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=    3912,RACS_0000-12A,10383,58787.66615,1,1.087298,-9.771019,0.14,0.15,24.893,0.545,2.308,23.512,0.302,26.48,0.35,25.03,0.31,24.28,9.33,8.67,0.35,0.67,0.31,24.28,9.33,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,3.01,0.299,88.093587,-69.3928,-
095252.86+164020.3,148.22028733404304,16.672319716935913,3.019,VI,J095252.8+164020,1,095252+164020,1,J095253+164009,1,J095252.8+164020,1,883121,J095252.8+164020,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  883121,RACS_1002+18A,8548,58595.52523,1,148.220222,16.672424,0.08,0.08,55.891,0.703,4.468,55.113,0.402,25.56,0.19,24.84,0.18,95.42,9.99,,0.19,,0.18,0.0,9.99,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,3.1112,0.401,217.643493,47.515985,-
101950.05-025602.4,154.95858169612785,-2.934003987,3.0,VI,J101950.0-025602,1,101950-025603,1,J101950-025605,1,J101950.0-025602,1,895987,J101950.0-025602,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=J/other/PASA/38.58/galcut&recno=  895987,RACS_1008+00A,8589,58601.51273,1,154.958531,-2.933941,0.16,0.14,37.453,0.852,3.236,34.604,0.466,26.76,0.37,25.35,0.33,73.88,10.49,9.4,0.37,4.09,0.33,73.88,10.49,http://vizier.u-strasbg.fr/viz-bin/VizieR?-6N&-info=XML&-out.add=.&&lt;&quot;Note&quot;&catid=1019003803&notid=6&-out.emph=%-1s,4.1171,0.458,246.355526,42.68806,-
