sdss_name,ra,dec,sdss_z,sdss_source_z,FIRST_1,source_tier_first,NVSS,source_tier_nvss,GLEAM,source_tier_gleam,RACS-DR1,source_tier_racs,_RAJ2000,_DEJ2000,FIRST_2,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
100012.26+102151.8,150.05109881034574,10.364406790930898,3.639,VI,J100012.2+102151,1,100012+102159,1,J100012+102207,1,J100012.2+102159,1,150.05114167,10.36433889,J100012.2+102151,FITS,10 00 12.274,+10 21 51.62,0.014,21.87,21.93,0.135,0.58,0.0,157.2,1,s,0,2000.03,2451555.5,1.672
075910.06+283310.8,119.79192491005938,28.55301402748549,3.59,VI,J075910.0+283311,1,075910+283311,1,J075909+283324,1,J075910.0+283311,1,119.79194167,28.553075,J075910.0+283311,FITS,07 59 10.066,+28 33 11.07,0.014,52.63,54.59,0.141,1.28,0.74,130.2,1,s,0,1994.2,2449426.6,417.407
003407.66+073432.8,8.531951416025777,7.57578439094368,3.526,VI,J003407.6+073432,1,003407+073433,1,J003407+073428,1,J003407.6+073433,1,8.53194583,7.57575556,J003407.6+073432,FITS,00 34 07.667,+07 34 32.72,0.014,186.72,191.23,0.104,1.11,0.54,107.1,2,s,0,2009.308,2454945.0,6.258
222951.52-012934.4,337.46468934503247,-1.492899185,3.504,VI,J222951.5-012934,1,222951-012934,1,J222951-012929,1,J222951.5-012934,1,337.4647375,-1.49291389,J222951.5-012934,FITS,22 29 51.537,-01 29 34.49,0.014,73.45,77.95,0.152,1.67,1.09,101.7,1,s,0,1995.905,2450048.6,9.34
134052.33+090651.6,205.2180484084655,9.114351886930201,3.467,VI,J134052.3+090651,1,134052+090651,1,J134052+090656,1,J134052.2+090651,1,205.218025,9.11428056,J134052.3+090651,FITS,13 40 52.326,+09 06 51.41,0.014,152.65,161.51,0.177,1.62,0.89,57.5,1,s,0,2000.058,2451565.7,1.325
110257.39+073821.4,165.73913557589054,7.639303592860876,3.45,VI,J110257.4+073821,1,110257+073820,1,J110257+073826,1,J110257.4+073822,1,165.7392125,7.63926667,J110257.4+073821,FITS,11 02 57.411,+07 38 21.36,0.014,42.53,43.81,0.149,0.97,0.9,90.0,2,s,0,2000.079,2451573.3,1.792
014149.55-044026.3,25.45648345868338,-4.673986215,3.43,VI,J014149.5-044026,1,014149-044026,1,J014149-044025,1,J014149.9-044026,1,25.4564625,-4.67396944,J014149.5-044026,FITS,01 41 49.551,-04 40 26.29,0.014,7.33,7.43,0.123,1.3,0.0,94.2,2,s,0,2009.247,2454922.6,5.864
084223.00+001001.7,130.59584675163632,0.1671475170986897,3.421,VI,J084223.0+001002,1,084222+001003,1,J084222+001003,1,J084222.8+001002,1,130.59593333,0.16739444,J084223.0+001002,FITS,08 42 23.024,+00 10 02.62,0.014,16.01,16.68,0.152,1.97,0.0,4.8,1,s,0,1998.611,2451037.4,1.002
084825.04+200011.7,132.1043562528554,20.003271113596465,3.418,VI,J084825.0+200011,1,084825+200011,1,J084824+200026,1,J084825.0+200011,1,132.10432917,20.00331944,J084825.0+200011,FITS,08 48 25.039,+20 00 11.95,0.014,44.96,47.17,0.148,1.48,0.84,115.9,1,s,0,1998.767,2451094.4,3.904
113502.79+080200.0,173.76165011303982,8.033338217283998,3.412,VI,J113502.8+080200,1,113502+080200,1,J113503+080139,1,J113502.7+080201,1,173.7618,8.03335278,J113502.8+080200,FITS,11 35 02.832,+08 02 00.07,0.014,8.28,11.86,0.14,4.84,2.0,96.5,1,s,0,2000.074,2451571.6,0.88
020624.40-091617.3,31.601706538507578,-9.271477084,3.41,VI,J020624.4-091617,1,020624-091618,1,J020624-091615,1,J020624.3-091616,1,31.60175417,-9.27141667,J020624.4-091617,FITS,02 06 24.421,-09 16 17.10,0.014,66.88,70.72,0.154,1.65,1.17,162.7,1,s,0,1997.163,2450508.9,0.685
105713.25-013913.7,164.30520848459344,-1.653830131,3.41,VI,J105713.2-013913,1,105713-013913,1,J105713-013916,1,J105713.1-013913,1,164.3052125,-1.65372778,J105713.2-013913,FITS,10 57 13.251,-01 39 13.42,0.014,21.28,21.13,0.139,0.78,0.0,14.8,2,s,1,1998.659,2451055.1,1.13
021928.90+002441.9,34.87043851539892,0.4116435130246019,3.396,VI,J021928.8+002442,1,021928+002441,1,J021928+002446,1,J021928.8+002442,1,34.87036667,0.411675,J021928.8+002442,FITS,02 19 28.888,+00 24 42.03,0.014,54.64,56.55,0.106,1.31,0.72,73.8,1,s,0,1999.194,2451250.4,1233.137
025807.91+002126.7,44.532971122870265,0.3574387502427737,3.376,VI,J025807.9+002126,1,025807+002128,1,J025807+002133,1,J025807.8+002126,1,44.53304167,0.35748889,J025807.9+002126,FITS,02 58 07.930,+00 21 26.96,0.014,9.95,11.39,0.103,2.92,1.48,155.2,1,s,0,1999.193,2451249.9,1231.691
110805.84+103307.8,167.02436004568193,10.552193726871495,3.373,VI,J110805.8+103307,1,110805+103307,1,J110805+103318,1,J110805.8+103308,1,167.02427083,10.55220833,J110805.8+103307,FITS,11 08 05.825,+10 33 07.95,0.014,17.64,18.9,0.163,1.65,1.21,90.0,5,s,0,2000.033,2451556.5,1.328
021937.13-093540.4,34.90472502126164,-9.594569833,3.369,VI,J021937.1-093540,1,021937-093541,1,J021937-093535,1,J021937.0-093540,1,34.90472083,-9.59463056,J021937.1-093540,FITS,02 19 37.133,-09 35 40.67,0.014,16.54,16.61,0.161,0.92,0.0,100.9,1,s,0,1997.173,2450512.7,2.899
164208.61+184859.4,250.53591287698214,18.816519862487002,3.333,VI,J164208.6+184859,1,164208+184859,1,J164208+184853,1,J164208.5+184859,1,250.536,18.81649444,J164208.6+184859,FITS,16 42 08.640,+18 48 59.38,0.014,149.23,153.44,0.137,1.37,0.0,96.5,1,s,0,1999.89,2451504.3,0.009
233446.40-090812.2,353.693338,-9.136733,3.329,DR6Q_HW,J233446.3-090812,1,233446-090811,1,J233446-090801,1,J233446.3-090811,1,353.69329583,-9.13677778,J233446.3-090812,FITS,23 34 46.391,-09 08 12.40,0.016,26.2,27.65,0.534,1.74,0.87,49.1,2,s,0,1997.156,2450506.6,2.838
073458.89+250455.0,113.7454111997802,25.08196447013357,3.296,VI,J073458.9+250455,1,073458+250455,1,J073500+250521,1,J073458.8+250456,1,113.74543333,25.08201111,J073458.9+250455,FITS,07 34 58.904,+25 04 55.24,0.014,49.0,51.84,0.143,1.33,1.27,89.2,2,s,0,1995.928,2450057.4,2.607
152228.92+114313.2,230.62050512817464,11.720359036600335,3.296,VI,J152228.9+114313,1,152228+114313,1,J152229+114330,1,J152228.8+114311,1,230.62047917,11.72035556,J152228.9+114313,FITS,15 22 28.915,+11 43 13.28,0.014,18.63,19.47,0.147,1.26,1.03,170.5,1,s,0,2000.017,2451550.9,0.38
021435.77+015703.0,33.64906174783346,1.9508433106636311,3.285,VI,J021435.7+015703,1,021435+015702,1,J021435+015657,1,J021435.7+015703,1,33.64908333,1.95085833,J021435.7+015703,FITS,02 14 35.780,+01 57 03.09,0.014,149.15,156.02,0.12,1.54,0.78,65.4,1,s,0,2009.259,2454927.2,35.033
125630.27+054439.2,194.12614022652545,5.744241359293636,3.274,VI,J125630.2+054439,1,125630+054439,1,J125630+054448,1,J125630.2+054439,1,194.12616667,5.74429167,J125630.2+054439,FITS,12 56 30.280,+05 44 39.45,0.014,48.61,50.02,0.146,1.04,0.78,89.9,2,s,0,2000.112,2451585.5,0.748
