sdss_name,sdss_ra,sdss_dec,sdss_class,sdss_z,sdss_source_z,sdss_z_pipe,sdss_zwarning,sdss_z_vi,sdss_z_conf,sdss_is_qso_qn,sdss_z_qn,FIRST_r1,RA_deg_r1,DEC_deg_r1,Fpeak_r1,Fint_r1,Rms_r1,Maj_r1,Min_r1,PA_r1,Separation_first,GrpSize_before_first,group_z_min_first,group_z_max_first,GroupID_first,GroupSize_first,source_tier_first,NVSS_r2,RA_deg_r2,e_RAJ2000_r2,DEC_deg_r2,e_DEJ2000_r2,S1.4_r2,e_S1.4_r2,MajAxis_r2,MinAxis_r2,Separation_nvss,GrpSize_before_nvss,group_z_min_nvss,group_z_max_nvss,GroupID_nvss,GroupSize_nvss,source_tier_nvss,GLEAM_r3,RA_deg_r3,e_RAJ2000_r3,DEC_deg_r3,e_DEJ2000_r3,Fpwide_r3,e_Fpwide_r3,Fintwide_r3,e_Fintwide_r3,awide_r3,e_awide_r3,bwide_r3,e_bwide_r3,pawide_r3,psfawide_r3,psfbwide_r3,psfPAwide_r3,Separation_gleam,GrpSize_before_gleam,group_z_min_gleam,group_z_max_gleam,GroupID_gleam,GroupSize_gleam,source_tier_gleam,RACS-DR1_r4,RA_deg_r4,e_RAJ2000_r4,DEC_deg_r4,e_DEJ2000_r4,Ftot_r4,e_Ftot_r4,Fpk_r4,e_Fpk_r4,amaj_r4,bmin_r4,e_amaj_r4,e_bmin_r4,PA_r4,e_PA_r4,amaj0_r4,bmin0_r4,PA0_r4,e_amaj0_r4,e_bmin0_r4,e_PA0_r4,Separation_racs,GrpSize_before_racs,group_z_min_racs,group_z_max_racs,GroupID_racs,GroupSize_racs,source_tier_racs,likeli_first,likeli_nvss,likeli_gleam,likeli_racs
102651.46+590628.0,156.71444106340323,59.10779601749842,QSO,3.407,VI,3.4076364040374756,0,3.407,3.0,1.0,3.4057874525702747,J102651.4+590628,156.7144171219295,59.10783228486772,79.69,82.6,0.155,1.18,0.87,174.2,0.1378578435578943,1,,,-2147483648,1,1,102651+590628,156.71400045521705,0.06,59.10786561823071,0.6,84.2,2.6,19.9,17.4,0.8520615933488477,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.3343544007184109,6.995462587269055,,
100025.33+590459.6,150.10555414206658,59.08324598504326,QSO,3.502,VI,3.502315044403076,0,3.502,3.0,1.0,3.4995323097112463,J100025.3+590459,150.10553703722738,59.08325772428821,30.57,30.86,0.138,0.87,0.0,28.3,0.05279183950442014,1,,,-2147483648,1,1,100025+590459,150.10541620385007,0.06,59.083143835406766,0.6,61.8,1.9,17.7,15.8,0.44757922522266813,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.12803902583133742,2.2697808234905392,,
102032.50+585849.2,155.13545233721447,58.98034784558816,QSO,3.421,VI,3.4213383197784424,0,3.421,3.0,1.0,3.415040559569979,J102032.5+585849,155.13543771185786,58.98033517330991,51.25,51.98,0.156,0.92,0.0,171.4,0.05307915793556991,1,,,-2147483648,1,1,102032+585849,155.13504187850828,0.07,58.9804768400039,0.6,53.1,1.6,18.8,15.2,0.8919080517415023,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.12873586130575865,6.284836832026182,,
111014.02+585744.1,167.55842615989195,58.96225383510211,QSO,3.102,VI,3.1013548374176025,0,3.102,3.0,1.0,3.095144114463775,J111014.0+585744,167.55850170421138,58.96222588155812,1.84,1.92,0.152,2.57,0.0,69.9,0.1725962822820066,1,,,-2147483648,1,1,111014+585750,167.55991837160377,0.79,58.96403143699368,5.7,2.7,0.4,58.9,52.3,6.97303957346118,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.4186073600239916,3.654962451133316,,
130204.52+585353.9,195.51885707404824,58.8983074140904,QSO,3.2811105251312256,PIPE,3.2811105251312256,0,-1.0,0.0,1.0,2.4336072886650237,J130204.5+585353,195.51907442207497,58.898150956611204,1.15,0.95,0.148,1.47,0.0,147.0,0.6932615428704931,1,,,-2147483648,1,1,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.6814049226567305,,,
152506.57+585140.4,231.27739058831054,58.86123557360104,QSO,3.396376848220825,PIPE,3.396376848220825,0,-1.0,0.0,1.0,1.8057440554341637,J152506.5+585140,231.27712346001275,58.861377824152136,14.45,22.56,0.157,5.64,2.2,153.6,0.7138222397764411,1,,,-2147483648,1,1,152506+585142,231.27708596012693,0.09,58.8616917130446,0.8,23.9,0.8,22.7,16.8,1.7372662935368404,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.7312749573101929,4.681493771904265,,
155307.12+585013.5,238.2796753591066,58.837087559641,QSO,3.7090001106262207,VI,3.729830265045166,4,3.7090001106262207,3.0,1.0,3.7187954443532583,J155307.0+585013,238.27931033385514,58.83718551589551,1.06,1.37,0.152,5.42,0.0,148.7,0.7660057194997301,1,,,-2147483648,1,1,155306+585016,238.27900200074595,0.71,58.83777440481162,5.8,2.6,0.4,54.0,50.8,2.772625826609138,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.8578388291564136,1.8006742184592686,,
161426.97+583953.0,243.61239844069803,58.66473873905547,QSO,3.1186208724975586,PIPE,3.1186208724975586,0,-1.0,0.0,1.0,3.1066804594061104,J161426.8+583952,243.6118013931063,58.66452394944868,13.26,24.16,0.147,7.52,1.93,67.2,1.359161694932063,1,,,-2147483648,1,1,161426+583952,243.611334726474,0.09,58.66446839393158,0.8,23.7,0.8,22.1,20.6,2.2165478048736094,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,3.296444448329745,14.85143421216727,,
153729.55+583224.7,234.37313240031088,58.540212087441255,QSO,3.069,VI,3.0733251571655273,0,3.069,3.0,1.0,3.0533987338423296,J153729.5+583224,234.37313975983307,58.54021642375414,13.62,14.18,0.146,1.61,0.0,2.2,0.020854035296855405,1,,,-2147483648,1,1,153729+583227,234.37316892678913,0.13,58.54108031264034,1.3,14.5,0.6,31.3,20.0,3.126364015484428,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.050578466117182815,2.433477765521455,,
103005.97+582255.2,157.52489151890052,58.38200971791446,QSO,3.4325432777404785,PIPE,3.4325432777404785,0,-1.0,0.0,1.0,3.432479435965658,J103005.9+582255,157.52482953288538,58.38202944895677,126.51,135.76,0.162,1.67,1.22,124.9,0.1368628790832484,1,,,-2147483648,1,1,103005+582255,157.5249586995983,0.06,58.382143337836325,0.6,143.5,4.3,17.4,15.3,0.4974609472433894,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.3319413070628397,1.3444095278182728,,
154312.67+582150.7,235.80280318388373,58.36408717206087,QSO,3.304,VI,3.3043460845947266,0,3.304,3.0,1.0,3.3008084640964173,J154312.7+582150,235.80296874220593,58.36393573752391,46.27,49.44,0.136,1.81,0.87,172.2,0.6284386787810187,1,,,-2147483648,1,1,154312+582148,235.80321040871547,0.07,58.363524626390884,0.6,56.3,2.1,23.0,16.8,2.1662376554508445,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.5241868685788056,7.125176830067922,,
094522.20+582132.1,146.34251645128882,58.3589320711302,QSO,3.183,VI,3.184724807739258,0,3.183,3.0,1.0,3.1855891313827795,J094522.1+582132,146.34240299898937,58.35890238990709,149.44,152.74,0.107,0.88,0.72,90.0,0.23942598088440747,1,,,-2147483648,1,1,094522+582131,146.34245716563973,0.06,58.35878294545962,0.6,159.9,4.8,16.2,15.7,0.5484035369849998,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.5806931037686985,1.3041099134507248,,
120957.51+582011.4,182.4896511484942,58.336508049186065,QSO,3.182131290435791,PIPE,3.182131290435791,0,-1.0,0.0,1.0,3.1753979727579633,J120957.5+582011,182.4897236047859,58.33643561859732,5.73,5.54,0.117,0.66,0.0,5.7,0.29451458332813507,1,,,-2147483648,1,1,120957+582013,182.48996110507275,0.25,58.33719672968508,1.8,7.9,0.5,32.6,26.9,2.547501373922936,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.7143026273012485,2.5736292356019463,,
135213.31+581536.7,208.0554748393488,58.260206533698735,QSO,3.122,VI,3.1220200061798096,0,3.122,3.0,1.0,3.1271500978599454,J135213.3+581536,208.05542428046795,58.26023574200301,13.54,13.8,0.132,1.43,0.0,144.3,0.14221283517247513,1,,,-2147483648,1,1,135213+581534,208.05675344682848,0.2,58.25947185297337,1.5,9.6,0.5,28.7,24.2,3.585919357029995,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.34491685309190473,10.971073457924252,,
105137.83+580721.0,162.9076421993469,58.12250185356354,QSO,3.255,VI,3.2724087238311768,4,3.255,3.0,1.0,3.2553493334747143,J105137.8+580721,162.90751344021731,58.12265404082655,1.09,1.01,0.142,3.46,0.0,14.1,0.6000749212538489,1,,,-2147483648,1,1,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.455395978206773,,,
100724.88+580203.5,151.8536767118067,58.034311208096035,QSO,3.768,VI,3.7695274353027344,0,3.768,3.0,1.0,3.7675067882253783,J100724.8+580203,151.85352037198084,58.034327058680134,160.17,167.47,0.151,1.33,0.94,71.2,0.30337967055558523,1,,,-2147483648,1,1,100724+580203,151.85370787202146,0.06,58.034393725334766,0.6,185.7,5.6,17.3,15.2,0.30294017959425185,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.7358039374875591,0.7055726414069816,,
122942.24+580103.7,187.42604118974555,58.01770481928377,QSO,3.204,VI,3.204725980758667,0,3.204,3.0,1.0,3.1962212947854436,J122942.2+580104,187.42609460691358,58.01777956990379,1.66,1.74,0.155,3.39,0.0,167.4,0.2877329206506069,1,,,-2147483648,1,1,122941+580104,187.4208362733469,0.42,58.01786290377014,1.5,13.2,1.1,61.8,24.1,9.940838733253235,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.6978549288781153,22.990428278211947,,
094134.29+575823.0,145.39289552306485,57.97308005039194,QSO,3.031,VI,3.0392673015594482,0,3.031,3.0,1.0,3.0349415010380882,J094134.3+575823,145.3930194506175,57.97311355333262,1.82,1.72,0.149,1.03,0.0,179.1,0.2655640908719601,1,,,-2147483648,1,1,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.6440877665966223,,,
121332.55+575814.6,183.38565886675693,57.97074065416728,QSO,3.029,VI,3.0287349224090576,64,3.029,3.0,1.0,3.0287702189316086,J121332.5+575814,183.3856693650103,57.97073553024704,9.53,10.15,0.14,1.56,1.15,22.6,0.02724004978227962,1,,,-2147483648,1,1,121332+575816,183.38604436520524,0.16,57.97122441909885,1.3,11.3,0.5,26.7,22.2,1.890694973677578,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.06606682242770656,4.123242305953755,,
112530.49+575722.7,171.37708070650325,57.956313646242144,QSO,3.686,VI,3.6852200031280518,0,3.686,3.0,1.0,3.6680947160840134,J112530.4+575722,171.37697676485433,57.95626166133207,2.52,2.99,0.139,2.47,2.14,74.5,0.2728344859153028,1,,,-2147483648,1,1,112530+575731,171.3768350989253,0.69,57.95864221690022,8.3,3.0,0.5,85.0,48.8,8.395969637537224,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.6617205717768385,1.213527333461888,,
081719.42+575652.8,124.3309403711875,57.94800011804012,QSO,3.421,VI,3.42106294631958,0,3.421,3.0,1.0,3.4126611766562878,J081719.4+575652,124.33097861739435,57.948047657066965,8.85,9.52,0.143,2.1,0.29,168.3,0.18608621963390976,1,,,-2147483648,1,1,081719+575652,124.33178695085465,0.19,57.94792265705243,1.6,9.9,0.5,28.7,23.9,1.641238443889349,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.45132542192113784,7.534865203233779,,
154703.18+575253.4,236.76328166339397,57.88151584862959,QSO,3.29,VI,3.2902579307556152,0,3.29,3.0,1.0,3.2866575313428132,J154703.2+575253,236.76343099996762,57.88151342862023,4.59,4.37,0.139,1.15,0.0,158.0,0.2859657316644418,1,,,-2147483648,1,1,154703+575252,236.76312683323496,0.4,57.88121898420308,3.0,5.2,0.4,47.8,34.0,1.1090392010455008,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.6935687515000147,0.8020999055602703,,
130337.13+574735.4,195.9047194260989,57.79318266396002,QSO,3.068,VI,3.067807197570801,0,3.068,3.0,1.0,3.0632228273815283,J130337.1+574735,195.90470734497296,57.793189805078015,5.77,6.05,0.145,1.76,0.0,8.6,0.034615415467825095,1,,,-2147483648,1,1,130337+574737,195.90583651188578,0.21,57.79377869384849,2.3,8.3,0.5,43.1,25.9,3.032824884516075,2,0.5628158450126648,3.068,11723,2,3,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.08395471803489131,9.26208834412406,,
122739.42+574539.8,186.9142543046613,57.761059532172,QSO,3.2980000972747803,VI,3.3160059452056885,0,-1.0,0.0,1.0,3.284192644294853,J122739.4+574539,186.91433615573104,57.76106851059785,33.31,34.37,0.144,1.34,0.28,7.9,0.1604775581373356,1,,,-2147483648,1,1,122739+574539,186.9141278223535,0.07,57.760974066174484,0.7,37.4,1.2,17.7,15.1,0.3920024450390774,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.3892152950072341,2.036929358681805,,
110727.41+574203.0,166.86424698463253,57.70083535032019,QSO,3.036,VI,3.0350704193115234,0,3.036,3.0,1.0,3.0325529301060907,J110727.4+574203,166.86432207907293,57.70090094009022,49.85,51.91,0.15,1.32,0.81,23.3,0.27680484279415807,1,,,-2147483648,1,1,110727+574203,166.8642512457544,0.06,57.70097594009615,0.6,57.7,1.8,16.0,14.6,0.5061895634758039,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.6713505211700838,0.8350248067369499,,
130940.70+573309.9,197.41960155465637,57.55276662693795,QSO,4.281,VI,4.281647682189941,0,4.281,3.0,1.0,4.267800126057075,J130940.6+573310,197.4195739582644,57.552786868127406,10.65,11.33,0.139,1.58,1.09,30.5,0.09028222353497473,1,,,-2147483648,1,1,130940+573311,197.41850312506827,0.19,57.55322297935124,1.8,11.2,0.9,26.8,27.4,2.6833063304730325,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.21896657631729027,9.923193591353915,,
131559.28+572706.6,198.99702559530903,57.45183551730627,QSO,3.424,VI,3.4251861572265625,0,3.424,3.0,1.0,3.4100941505105844,J131559.2+572706,198.9970197838769,57.451897812929495,3.97,3.7,0.138,0.51,0.0,39.0,0.2245465270662771,1,,,-2147483648,1,1,131559+572705,198.99816978371007,0.83,57.45138947947472,7.8,2.6,0.4,79.2,53.0,2.7367027619853697,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.5446053240888693,2.658808561145179,,
135326.02+572552.8,208.35844748916082,57.43134956470372,QSO,3.476,VI,3.47644305229187,0,3.476,3.0,1.0,3.4637651741099225,J135326.0+572552,208.35839896732824,57.431302376592726,190.43,214.16,0.137,2.6,0.88,124.7,0.19416523774437083,1,,,-2147483648,1,1,135326+572551,208.35921146723913,0.06,57.43108293206227,0.6,298.7,9.0,17.8,17.0,1.7644642487682944,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.47091980175284087,12.793092652508738,,
104018.51+572448.1,160.07716524490763,57.41338183762732,QSO,3.411,VI,3.4110326766967773,0,3.411,3.0,1.0,3.4283430215957384,J104018.5+572448,160.0773129217785,57.4133459267657,2.92,2.77,0.144,0.0,0.0,158.5,0.31415854139512067,1,,,-2147483648,1,1,104019+572442,160.07916708822384,0.85,57.411670926625405,7.0,2.2,0.4,61.7,57.8,7.280245298512539,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.7619460716395886,4.619522583410377,,
134328.73+572147.1,205.86971496752275,57.363090437949744,QSO,3.039,VI,3.038888454437256,0,3.039,3.0,1.0,3.0398705048547336,J134328.7+572146,205.8696822940339,57.3630220847768,46.31,48.19,0.151,1.11,1.07,0.0,0.2541167877939485,1,,,-2147483648,1,1,134328+572147,205.86958646073333,0.07,57.363110973675845,0.6,49.5,1.9,15.9,17.1,0.2602218865564594,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.6163237038433007,2.0475901787929582,,
082832.54+572135.7,127.13561619675211,57.35994360214212,QSO,3.22,VI,3.289442300796509,0,3.22,3.0,1.0,3.248549293419411,J082832.5+572135,127.13566236949343,57.35993371059851,7.02,6.99,0.149,0.0,0.0,0.0,0.09646641146298038,1,,,-2147483648,1,1,082832+572128,127.13662070281119,0.34,57.35778371057639,5.6,9.3,1.2,64.5,41.3,8.01651801446868,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.2339653867819089,5.675895619623312,,
135012.00+571525.2,207.55001438151515,57.25701990650665,QSO,3.045,VI,3.0465619564056396,0,3.045,3.0,1.0,3.047620428142869,J135012.0+571525,207.5503322451311,57.25694412883467,26.97,29.4,0.15,1.92,1.27,115.2,0.6763781451470281,1,,,-2147483648,1,1,135012+571524,207.5505030784328,0.08,57.25686079548323,0.7,29.8,1.0,22.4,19.5,1.11066180745771,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.640456549395383,7.474460258733343,,
153007.24+571301.7,232.5301816912434,57.217141537787235,QSO,3.246,VI,3.2466793060302734,0,3.246,3.0,1.0,3.218907809823646,J153007.2+571301,232.53038114212526,57.217211039374305,49.94,55.53,0.152,2.25,1.25,28.6,0.46233246595723715,1,,,-2147483648,1,1,153007+571301,232.53025197545347,0.06,57.21716381716419,0.6,50.3,1.6,20.6,18.8,0.15875216380784235,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.1213216826605898,1.1821513692067556,,
160953.39+570500.2,242.47247319077684,57.0834015253404,QSO,3.039,VI,3.039337635040283,68,3.039,3.0,1.0,2.9675360123078014,J160953.4+570500,242.47259271493317,57.08334626629307,2.17,2.52,0.137,2.38,1.91,90.3,0.30699939779458874,1,,,-2147483648,1,1,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.7445825865820723,,,
150630.00+570403.2,226.62502449228975,57.06756931931065,QSO,3.28,VI,3.2956998348236084,4,3.28,3.0,1.0,3.2917516211188236,J150630.1+570403,226.62550650311303,57.06764771795315,1.29,1.77,0.14,6.03,0.0,29.9,0.9846758875955732,1,,,-2147483648,1,1,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,2.388192133838687,,,
131255.27+570341.8,198.23033102412703,57.0616343646265,QSO,3.039,VI,3.038882255554199,0,3.039,3.0,1.0,3.047540051923966,J131255.2+570342,198.23025296335743,57.06175067161068,1.3,1.16,0.134,3.0,0.0,178.8,0.44571495049881754,1,,,-2147483648,1,1,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.0810177401305578,,,
130358.74+570340.6,195.99475923082446,57.061297088954234,QSO,3.066,VI,3.0661144256591797,0,3.066,3.0,1.0,3.055238945116651,J130358.8+570341,195.9951112490508,57.06142312892911,11.24,12.55,0.135,2.09,1.58,55.6,0.8250408108921709,1,,,-2147483648,1,1,130358+570341,195.99450291573027,0.14,57.06150090677071,1.2,12.0,0.5,23.1,21.4,0.8888818861227862,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,2.0010202571067595,2.979220346156289,,
151002.92+570243.4,227.51218651645146,57.04539055186517,QSO,4.313,VI,4.313855171203613,0,4.313,3.0,1.0,4.340290622167765,J151002.9+570243,227.51235227354013,57.045447631029916,248.07,254.97,0.136,0.91,0.9,0.0,0.38417614964997393,1,,,-2147483648,1,1,151002+570243,227.5120856068611,0.06,57.045358742167075,0.6,202.0,6.1,16.7,15.9,0.22839489068576638,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.9317645369009344,1.704935424112458,,
131925.71+570054.2,199.85713310163595,57.01508106818872,QSO,3.678,VI,3.677612781524658,0,3.678,3.0,1.0,3.686646128608232,J131925.7+570054,199.85720297236168,57.01508105537758,5.0,4.8,0.135,0.0,0.0,90.0,0.13694004547517677,1,,,-2147483648,1,1,131925+570053,199.8557529722441,0.5,57.01480605553089,3.1,4.7,0.4,54.0,36.4,2.8804263056734403,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.3321283950806633,5.314386592726788,,
133256.23+565753.2,203.23432123513678,56.96478709694571,QSO,3.096,VI,3.0963053703308105,0,3.096,3.0,1.0,3.0970921558345506,J133256.2+565753,203.2342238168679,56.96475569767259,9.48,12.34,0.151,4.44,0.53,30.9,0.22210499823573518,1,,,-2147483648,1,1,133256+565752,203.2340029835119,0.12,56.964694586584905,1.0,15.2,0.6,21.3,19.2,0.7078298951905334,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.5386835775900108,4.0122142395188884,,
122810.20+565604.5,187.04253444102886,56.93458593211448,QSO,3.361394166946411,PIPE,3.361394166946411,0,-1.0,0.0,1.0,3.3589518801676954,J122810.2+565604,187.04252337499565,56.93457127541291,9.71,9.12,0.144,0.0,0.0,3.2,0.05706554776498369,1,,,-2147483648,1,1,122810+565605,187.04254420843856,0.17,56.934890719855254,1.5,10.1,0.5,29.3,23.9,1.0974035693465376,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,0.13840427904919603,0.736323498771056,,
