sdss_name,sdss_ra,sdss_dec,sdss_class,sdss_z,sdss_source_z,sdss_z_pipe,sdss_zwarning,sdss_z_vi,sdss_z_conf,sdss_is_qso_qn,sdss_z_qn,FIRST_r1,RA_deg_r1,DEC_deg_r1,Fpeak_r1,Fint_r1,Rms_r1,Maj_r1,Min_r1,PA_r1,Separation_first,GrpSize_before_first,group_z_min_first,group_z_max_first,GroupID_first,GroupSize_first,source_tier_first,NVSS_r2,RA_deg_r2,e_RAJ2000_r2,DEC_deg_r2,e_DEJ2000_r2,S1.4_r2,e_S1.4_r2,MajAxis_r2,MinAxis_r2,Separation_nvss,GrpSize_before_nvss,group_z_min_nvss,group_z_max_nvss,GroupID_nvss,GroupSize_nvss,source_tier_nvss,GLEAM_r3,RA_deg_r3,e_RAJ2000_r3,DEC_deg_r3,e_DEJ2000_r3,Fpwide_r3,e_Fpwide_r3,Fintwide_r3,e_Fintwide_r3,awide_r3,e_awide_r3,bwide_r3,e_bwide_r3,pawide_r3,psfawide_r3,psfbwide_r3,psfPAwide_r3,Separation_gleam,GrpSize_before_gleam,group_z_min_gleam,group_z_max_gleam,GroupID_gleam,GroupSize_gleam,source_tier_gleam,RACS-DR1_r4,RA_deg_r4,e_RAJ2000_r4,DEC_deg_r4,e_DEJ2000_r4,Ftot_r4,e_Ftot_r4,Fpk_r4,e_Fpk_r4,amaj_r4,bmin_r4,e_amaj_r4,e_bmin_r4,PA_r4,e_PA_r4,amaj0_r4,bmin0_r4,PA0_r4,e_amaj0_r4,e_bmin0_r4,e_PA0_r4,Separation_racs,GrpSize_before_racs,group_z_min_racs,group_z_max_racs,GroupID_racs,GroupSize_racs,source_tier_racs,likeli_first,likeli_nvss,likeli_gleam,likeli_racs
125304.27+184542.9,193.26779149334203,18.761933699355886,QSO,3.274,VI,3.2757248878479004,0,3.274,3.0,1.0,3.258494742348539,J125304.2+184542,193.26772899687543,18.761923413895367,3.6,2.9,0.148,0.0,0.0,180.0,0.2162261642761115,1,,,-2147483648,1,1,125304+184538,193.2667039967193,0.4,18.760640080668665,6.3,2.6,0.4,60.1,51.1,5.952272189018779,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,J125304.4+184543,193.2683756635535,1.45,18.761982191605874,1.31,3.004,0.642,2.831,0.356,26.8,24.78,3.5,3.0,65.39,67.0,9.6,,65.39,3.5,3.0,67.0,1.9989026484388368,1,,,-2147483648,1,1,0.5244254635815373,9.021022687952378,,1.3764605542406625
131538.33+184402.1,198.90974062140577,18.733942721728702,QSO,3.171,VI,3.171544075012207,0,3.171,3.0,1.0,3.1654991814531144,J131538.3+184402,198.90961652358368,18.734067266601286,10.11,10.8,0.15,1.55,1.24,113.0,0.6164636454385924,1,,,-2147483648,1,1,131538+184403,198.90978735694574,0.12,18.734306155472133,2.0,9.2,0.5,40.4,24.8,1.318027725311107,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,J131538.2+184403,198.90918969027723,0.34,18.734308599979673,0.26,15.497,0.864,14.039,0.432,25.3,21.77,0.81,0.6,164.18,8.52,,,0.0,0.81,0.6,8.52,2.2940841553262312,1,,,-2147483648,1,1,1.4951442150583527,1.2113430069655355,,7.102509717986672
135527.88+184333.0,208.8661669438777,18.72583929661256,QSO,3.216,VI,3.215515375137329,4,3.216,3.0,1.0,3.207902502583142,J135527.8+184333,208.86614569358812,18.72604398952771,2.17,1.88,0.137,0.0,0.0,82.5,0.7404476418398811,1,,,-2147483648,1,1,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,1.795849326611857,,,
111149.57+184122.0,167.9565531574509,18.68946481148035,QSO,3.04,VI,3.003424882888794,68,3.04,3.0,1.0,3.029945313038133,J111149.5+184122,167.95659945589983,18.689475847747964,19.36,19.88,0.145,0.89,0.88,90.1,0.1628077418055907,1,,,-2147483648,1,1,111149+184121,167.95703695588284,0.05,18.689198069932942,0.8,20.8,0.7,19.5,17.4,1.9089462547989018,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,J111149.5+184121,167.9562472892051,0.16,18.689259625555728,0.17,23.309,0.635,23.424,0.368,25.41,24.49,0.41,0.38,25.21,16.5,,,0.0,0.41,0.38,16.5,1.2781287082924337,1,,,-2147483648,1,1,0.3948667862280978,14.804558375620855,,6.677406328051599
122851.64+183617.9,187.2151686473405,18.60498325174965,QSO,3.002,VI,3.002730369567871,0,3.002,3.0,1.0,3.0123367565446104,J122851.6+183618,187.21507475853917,18.60505181350468,1.96,1.4,0.134,0.0,0.0,94.2,0.4043963375445879,1,,,-2147483648,1,1,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,J122851.5+183618,187.214875591875,1.02,18.605092813524838,1.13,2.789,0.524,3.038,0.32,24.57,23.37,2.66,2.4,6.08,85.5,,,0.0,2.66,2.4,85.5,1.0748490991382793,1,,,-2147483648,1,1,0.9808053088219156,,,1.0356882142954125
152028.14+183556.1,230.1172635437883,18.598934963495402,QSO,4.117,VI,4.124156951904297,0,4.117,3.0,1.0,4.136510362737318,J152028.1+183556,230.11727048442216,18.59894737907021,6.26,6.94,0.152,2.39,0.85,85.6,0.05058206431114522,1,,,-2147483648,1,1,152028+183558,230.11678715115494,0.12,18.59949737911648,2.2,8.8,0.5,40.7,25.5,2.5964321793529277,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,J152028.1+183556,230.1171424844425,0.76,18.599119379082467,0.66,6.13,0.64,5.403,0.339,27.67,25.63,1.8,1.55,92.8,34.93,11.85,5.65,92.8,1.8,1.55,34.93,0.7819019353738753,1,,,-2147483648,1,1,0.12267952680598271,10.446384877419884,,1.1311450348235428
110149.46+183420.6,165.45609047589397,18.572399113972583,QSO,3.02,VI,3.02052903175354,0,3.02,3.0,1.0,3.0208251310153242,J110149.4+183420,165.4559743900821,18.572342723820565,1.92,2.08,0.132,1.78,1.35,0.2,0.4451312075871266,1,,,-2147483648,1,1,110149+183437,165.45682855720764,0.45,18.577142723750256,12.7,2.6,0.5,112.0,55.6,17.261735761132467,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,J110149.4+183424,165.4561892235158,1.36,18.57338583491399,2.77,7.716,1.413,3.873,0.495,44.23,28.16,6.59,3.09,172.09,15.53,36.49,12.94,172.09,6.59,3.09,15.53,3.5681431712435168,1,,,-2147483648,1,1,1.0796016151299972,5.6268785555819925,,1.305153017126009
160820.89+183059.5,242.08706851427473,18.516531590414534,QSO,3.221,VI,3.222092390060425,0,3.221,3.0,1.0,3.2084018214437044,J160820.8+183059,242.08706608699822,18.516610187539552,20.5,21.52,0.148,1.44,0.92,89.7,0.28307094435097846,1,,,-2147483648,1,1,160820+183100,242.08707858700294,0.06,18.516662965316275,0.8,22.4,0.8,21.6,19.0,0.4741979219817228,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,J160820.8+183059,242.08696225366756,0.17,18.516615298659403,0.15,31.89,0.786,30.55,0.441,26.4,24.72,0.39,0.35,95.02,9.14,,,0.0,0.39,0.35,9.14,0.4715805626749501,1,,,-2147483648,1,1,0.686547884318195,0.6565509531163416,,2.485284151679239
074922.32+182837.2,117.34300077685305,18.47702673925094,QSO,3.188,VI,3.188586950302124,0,3.188,3.0,1.0,3.1840570176047267,J074922.3+182837,117.34299790367655,18.47711162677963,29.37,32.68,0.116,2.35,1.09,145.9,0.305752527227519,1,,,-2147483648,1,1,074922+182838,117.34299373701053,0.04,18.477256071224097,0.7,37.0,1.2,20.8,15.9,0.8259449444602048,1,,,-2147483648,1,1,,,,,,,,,,,,,,,,,,,-2147483648,,,-2147483648,-2147483648,-2147483648,J074922.1+182837,117.34227973698495,0.09,18.477201071227753,0.09,37.892,0.547,37.918,0.316,25.27,24.72,0.21,0.2,175.23,15.31,,,0.0,0.21,0.2,15.31,2.540667941955348,1,,,-2147483648,1,1,0.7415588031595455,1.1887064494737658,,18.88464462347424
083549.42+182520.0,128.95593909853739,18.422248224905307,QSO,4.412,VI,4.418881893157959,0,4.412,3.0,1.0,4.427380421755374,J083549.4+182520,128.95594830843964,18.422283665612493,51.49,52.35,0.134,1.05,0.0,159.6,0.1314071533223317,1,,,-2147483648,1,1,083549+182519,128.95570247509465,0.04,18.42217255450786,0.6,53.2,1.6,17.6,15.1,0.85286624418573,2,,,4924,1,1,J083548+182504,128.95382114157377,0.004047,18.41796488789076,0.0051,0.069614,0.01214,0.080311,0.0185787,187.311,19.6011,141.9207,15.644733,-2.746168,171.014,134.761,0.795311,17.032543338133895,5,0.5336136221885681,4.412,14042,3,3,J083549.4+182519,128.95585414176725,0.06,18.422197887837193,0.06,63.177,0.646,60.975,0.364,25.51,25.4,0.15,0.15,148.66,57.24,5.03,4.46,148.66,0.15,0.15,57.24,0.34210740536957285,1,,,-2147483648,1,1,0.3187091625897775,7.517210305437018,170.1187263310177,2.933546571634238
