sdss_name,sdss_ra,sdss_dec,sdss_class,sdss_z,sdss_source_z,sdss_z_pipe,sdss_zwarning,sdss_z_vi,sdss_z_conf,sdss_is_qso_qn,sdss_z_qn,FIRST_r1,RA_deg_r1,DEC_deg_r1,Fpeak_r1,Fint_r1,Rms_r1,Maj_r1,Min_r1,PA_r1,Separation_first,GrpSize_before_first,group_z_min_first,group_z_max_first,GroupID_first,GroupSize_first,match_tier_first,NVSS_r2,RA_deg_r2,e_RAJ2000_r2,DEC_deg_r2,e_DEJ2000_r2,S1.4_r2,e_S1.4_r2,MajAxis_r2,MinAxis_r2,Separation_nvss,GrpSize_before_nvss,group_z_min_nvss,group_z_max_nvss,GroupID_nvss,GroupSize_nvss,match_tier_nvss,GLEAM_r3,RA_deg_r3,e_RAJ2000_r3,DEC_deg_r3,e_DEJ2000_r3,Fpwide_r3,e_Fpwide_r3,Fintwide_r3,e_Fintwide_r3,awide_r3,e_awide_r3,bwide_r3,e_bwide_r3,pawide_r3,psfawide_r3,psfbwide_r3,psfPAwide_r3,Separation_gleam,GrpSize_before_gleam,group_z_min_gleam,group_z_max_gleam,GroupID_gleam,GroupSize_gleam,match_tier_gleam,RACS-DR1_r4,RA_deg_r4,e_RAJ2000_r4,DEC_deg_r4,e_DEJ2000_r4,Ftot_r4,e_Ftot_r4,Fpk_r4,e_Fpk_r4,amaj_r4,bmin_r4,e_amaj_r4,e_bmin_r4,PA_r4,e_PA_r4,amaj0_r4,bmin0_r4,PA0_r4,e_amaj0_r4,e_bmin0_r4,e_PA0_r4,Separation_racs,GrpSize_before_racs,group_z_min_racs,group_z_max_racs,GroupID_racs,GroupSize_racs,match_tier_racs,likeli_first,likeli_nvss,likeli_gleam,likeli_racs
151437.92+321347.6,228.65801586,32.22989246,QSO,3.39,VI,3.3769598,0,3.39,3.0,1.0,3.37104282,J151437.9+321347,228.65812214,32.22993641,5.59,5.89,0.134,1.94,0.0,148.4,0.36026285,1,,,NA,1,1,151438+321345,228.65862214,0.24,32.22935863,3.0,4.7,0.4,37.8,35.2,2.6649804,4,0.4048,3.39,16074,3,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.87376592,7.12998772,,
134245.72+321145.0,205.69053182,32.19583967,QSO,3.002,VI,3.02995324,0,3.002,3.0,1.0,3.02577615,J134245.7+321144,205.69070997,32.19581377,2.07,2.51,0.14,5.33,0.0,17.4,0.5506522,1,,,NA,1,1,134245+321137,205.6895808,0.23,32.19361099,3.6,5.3,0.5,54.0,33.8,8.53031288,5,0.0806,3.002,13737,5,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,1.33552757,11.7648683,,
134329.90+320800.2,205.87459807,32.13339188,QSO,3.153,VI,3.15371847,0,3.153,3.0,1.0,3.16038789,J134329.9+320800,205.87462246,32.13341931,22.73,23.33,0.147,0.87,0.87,179.99998,0.12359064,1,,,NA,1,1,134329+320802,205.87462246,0.06,32.13388875,0.9,19.5,0.7,20.4,18.3,1.7902741,2,,,13753,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.29975134,2.07564464,,
171619.84+320526.0,259.0827072,32.09056114,QSO,3.528,VI,3.5290792,0,3.528,3.0,1.0,3.52758649,J171619.8+320525,259.08288335,32.0905145,1.51,1.57,0.138,2.89,0.0,33.5,0.56288433,1,,,NA,1,1,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,1.36519471,,,
115450.40+320057.0,178.71002105,32.01585871,QSO,3.085,VI,3.19343138,68,3.085,3.0,1.0,3.08683386,J115450.4+320057,178.71005123,32.01585265,5.5,5.76,0.139,1.55,0.7,51.9,0.09465291,1,,,NA,1,1,115450+320057,178.70912206,0.34,32.01600265,4.1,3.7,0.4,47.099995,42.2,2.79262082,2,,,10758,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.22956701,7.74403426,,
130906.69+315800.1,197.27788421,31.96671904,QSO,3.92,VI,3.9026773,0,3.92,3.0,1.0,3.92227377,J130906.6+315800,197.2778724,31.96669522,3.44,2.75,0.18,0.0,0.0,165.7,0.09305011,1,,,NA,1,1,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.22567966,,,
081245.18+315536.3,123.18825106,31.92676431,QSO,3.967,VI,3.96636033,0,3.967,3.0,1.0,3.95240001,J081245.1+315536,123.18820671,31.92673379,10.67,10.94,0.14,1.42,0.0,0.1,0.17445959,1,,,NA,1,1,081244+315536,123.18582754,0.19,31.92678379,1.4,12.8,1.0,44.5,22.9,7.40516328,2,0.5654,3.967,4563,2,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.42312661,34.48777837,,
091413.56+315535.4,138.55653346,31.92650568,QSO,3.119,VI,3.11835766,0,3.119,3.0,1.0,3.11238022,J091413.5+315535,138.55648684,31.92657778,2.89,2.84,0.137,1.17,0.0,154.1,0.29604705,1,,,NA,1,1,091413+315540,138.55662018,0.51,31.92781111,6.2,2.4,0.4,58.5,54.5,4.7070018,2,0.44150001,3.119,6298,2,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.71801963,0.91341837,,
132952.86+315411.0,202.47025965,31.9030729,QSO,3.788,VI,3.78873706,0,3.788,2.0,1.0,2.07614738,J132952.8+315411,202.47027659,31.90312522,778.96,799.53,0.462,1.15,0.49,0.2,0.19534016,1,,,NA,1,1,132952+315411,202.47020575,0.04,31.90322245,0.6,829.0,24.9,19.8,17.2,0.56299697,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.47376948,1.76706759,,
133724.69+315254.5,204.35289272,31.88181737,QSO,3.179,VI,3.17898679,0,3.179,3.0,1.0,3.19331296,J133724.7+315254,204.35292242,31.8818028,82.49,83.3,0.135,0.75,0.12,151.9,0.10486045,1,,,NA,1,1,133724+315254,204.35266409,0.04,31.8817778,0.6,83.9,2.5,17.5,15.7,0.71326945,3,,,13603,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.25432392,6.49334577,,
140025.40+314910.6,210.10586801,31.8196137,QSO,4.64,VI,4.69185162,0,4.64,3.0,1.0,4.65179101,J140025.4+314910,210.10586823,31.81967441,20.16,20.51,0.136,1.19,0.0,0.1,0.21856538,1,,,NA,1,1,140025+314910,210.10620573,0.06,31.81969386,0.8,21.9,0.8,17.1,17.0,1.0726088,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.5300989,8.86567884,,
142745.63+314601.4,216.94014121,31.76706888,QSO,3.05,VI,3.05012655,0,3.05,3.0,1.0,3.05074838,J142745.6+314601,216.94015565,31.76707648,4.92,4.69,0.141,0.91,0.0,82.5,0.05198064,1,,,NA,1,1,142745+314601,216.94028898,0.26,31.76697092,3.1,5.4,0.5,49.3,38.6,0.5735335,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.12607156,1.6276389,,
090602.63+314255.5,136.5109845,31.71542602,QSO,3.538,VI,3.54192424,0,3.538,3.0,1.0,3.54204439,J090602.6+314255,136.51102421,31.71547786,32.12,32.91,0.135,1.07,0.54,167.5,0.22276032,1,,,NA,1,1,090602+314255,136.51116171,0.05,31.71550564,0.7,32.3,1.0,20.5,15.7,0.61374084,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.54027319,4.87092144,,
104523.43+314231.6,161.34766032,31.70879888,QSO,3.244,VI,3.24449873,0,3.244,3.0,1.0,3.22355353,J104523.4+314231,161.34783388,31.70879861,147.63,152.06,0.137,1.5,0.0,5.0,0.5315242,1,,,NA,1,1,104523+314232,161.34774638,0.04,31.70903194,0.6,162.7,4.9,17.2,16.1,0.87942267,3,,,8859,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,1.28913554,2.80891722,,
161327.19+313753.8,243.36331376,31.63162391,QSO,3.141,VI,3.14153767,0,3.141,3.0,1.0,3.12908848,J161327.1+313752,243.36313822,31.63135453,1.08,0.57,0.145,0.0,0.0,21.6,1.1090508,1,,,NA,1,1,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,2.68984238,,,
123945.51+313705.9,189.93964005,31.61831536,QSO,3.014,VI,3.01343489,0,3.014,3.0,1.0,3.01893628,J123945.5+313705,189.93973476,31.61823765,1.56,0.89,0.143,0.0,0.0,53.5,0.40320327,1,,,NA,1,1,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.97791137,,,
125451.09+313630.7,193.71288873,31.60854709,QSO,3.028,VI,3.02517629,0,3.028,3.0,1.0,3.02657942,J125451.0+313631,193.71278481,31.60866781,2.38,2.46,0.142,2.05,0.0,87.2,0.53887257,1,,,NA,1,1,125451+313627,193.71399731,0.22,31.60772337,2.6,7.5,0.5,51.5,40.6,4.51063721,3,0.48089999,3.028,12394,3,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,1.30695825,14.11061676,,
144922.23+313542.8,222.34266262,31.59524078,QSO,3.432,VI,3.43119884,0,3.432,3.0,1.0,3.4357517,J144922.2+313542,222.34260137,31.59520926,7.89,7.65,0.137,0.47,0.0,158.5,0.21945408,1,,,NA,1,1,144922+313545,222.34208053,0.15,31.59583148,2.0,8.8,0.5,40.0,32.3,2.77632859,2,,,15447,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.53225425,9.95768436,,
123315.94+313218.4,188.31642731,31.53846328,QSO,3.193,VI,3.16904807,4,3.193,3.0,1.0,3.19142073,J123315.9+313218,188.31640139,31.53851837,4.01,3.83,0.142,1.54,0.0,41.9,0.21367545,1,,,NA,1,1,123315+313223,188.31433055,0.32,31.53983504,4.4,4.0,0.4,58.5,39.6,8.11014866,1,,,NA,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.51823912,19.221885,,
101738.59+312324.5,154.41081598,31.39014084,QSO,3.345,VI,3.3447001,0,3.345,3.0,1.0,3.36056434,J101738.6+312324,154.41090018,31.39011022,3.35,3.47,0.144,1.32,0.61,89.80001,0.28125651,1,,,NA,1,1,101739+312323,154.41357935,0.43,31.38997689,3.7,4.2,0.5,66.1,39.4,8.51261448,2,0.4278,3.345,8112,2,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.68214713,19.23646004,,
075113.05+312038.0,117.80437499,31.34390155,QSO,3.72,VI,3.67641377,0,3.72,3.0,1.0,3.72291765,J075113.0+312038,117.80433551,31.34391162,5.84,5.6,0.128,0.0,0.0,23.3,0.12667746,1,,,NA,1,1,075113+312040,117.80466051,0.13,31.34464496,1.7,8.6,0.5,27.7,25.500002,2.81656753,2,,,3998,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.30723799,5.57844495,,
153203.97+312011.9,233.01655565,31.33664687,QSO,3.44,VI,3.4401741,0,3.44,3.0,1.0,3.42416088,J153203.9+312012,233.01660523,31.33671377,1.69,1.87,0.128,2.35,0.85,89.80001,0.28503373,1,,,NA,1,1,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.6913084,,,
124350.37+311918.5,190.95988434,31.32182554,QSO,3.321,VI,4.38005161,0,3.321,3.0,1.0,3.29653801,J124350.3+311918,190.9595889,31.32169865,1.56,1.58,0.137,3.33,0.0,73.3,1.01693888,1,,,NA,1,1,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,2.46643774,,,
170449.90+311728.2,256.20791781,31.29119316,QSO,3.025,VI,3.02617431,0,3.025,3.0,1.0,3.02734883,J170449.8+311728,256.20790843,31.29116468,45.2,45.98,0.15,0.95,0.35,78.8,0.10650129,1,,,NA,1,1,170450+311730,256.2085376,0.04,31.29188412,0.6,58.0,2.1,29.6,19.2,3.13416619,3,0.3073,3.025,18350,2,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.25830357,18.16939685,,
172026.69+310431.6,260.11122776,31.07546408,QSO,4.62,VI,4.64039564,0,4.62,3.0,1.0,4.58028702,J172026.6+310431,260.11119155,31.07547277,10.72,10.56,0.142,0.38,0.0,179.89998,0.11596933,1,,,NA,1,1,172026+310429,260.11003738,0.11,31.07477277,1.4,11.3,0.5,32.2,22.3,4.43459213,2,0.3865,4.62,18517,2,3,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,0.28126696,24.75326094,,
100322.35+310216.2,150.84315807,31.0378559,QSO,3.455,VI,3.50033116,4,3.455,3.0,1.0,3.46491385,J100322.4+310216,150.84339997,31.03800212,13.84,16.83,0.151,3.82,0.0,38.5,0.91317066,1,,,NA,1,1,100322+310216,150.8444958,0.06,31.03778268,0.9,20.2,0.7,20.8,17.6,4.13476426,2,,,7709,1,1,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,2.21476529,35.38437848,,
123317.97+310148.6,188.32490556,31.03017622,QSO,3.06,VI,3.06047702,0,3.06,3.0,1.0,3.07845875,J123318.0+310148,188.32510548,31.0301517,1.15,1.32,0.132,2.28,1.78,0.6,0.62300743,1,,,NA,1,1,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,NA,NA,1.51101477,,,
